question_id,category,source_type,source_work,source_reference,verification_status,consensus_status
faith_010,faith,quran,Quran,82:10-11,verified,nonControversial
faith_011,faith,creed,Creed,"well-established (99 beautiful names, reported in al-Bukhari and Muslim)",verified,nonControversial
faith_012,faith,quran,Quran,1:3,verified,nonControversial
faith_013,faith,quran,Quran,1:4,verified,nonControversial
faith_014,faith,quran,Quran,62:9,verified,nonControversial
faith_015,faith,quran,Quran,15:9,verified,nonControversial
faith_016,faith,quran,Quran,2:256,verified,nonControversial
faith_017,faith,creed,Creed,well-established terminology (as-salamu 'alaykum),verified,nonControversial
faith_018,faith,creed,Creed,well-established terminology (tawhid),verified,nonControversial
virtues_007,virtues,quran,Quran,49:12,verified,nonControversial
virtues_008,virtues,quran,Quran,49:10,verified,nonControversial
virtues_009,virtues,quran,Quran,49:11,verified,nonControversial
virtues_010,virtues,quran,Quran,14:7,verified,nonControversial
virtues_011,virtues,quran,Quran,39:10,verified,nonControversial
virtues_012,virtues,quran,Quran,7:31,verified,nonControversial
virtues_013,virtues,quran,Quran,16:90,verified,nonControversial
virtues_014,virtues,quran,Quran,83:1-3,verified,nonControversial
virtues_015,virtues,quran,Quran,93:9-10,verified,nonControversial
virtues_016,virtues,quran,Quran,2:83,verified,nonControversial
virtues_017,virtues,quran,Quran,31:18,verified,nonControversial
virtues_018,virtues,hadithBukhari,Sahih al-Bukhari,1,verified,nonControversial
prophets_033,prophets,quran,Quran,38:71,verified,nonControversial
prophets_034,prophets,quran,Quran,7:20,verified,nonControversial
prophets_035,prophets,quran,Quran,7:12,verified,nonControversial
prophets_036,prophets,quran,Quran,5:31,verified,nonControversial
prophets_037,prophets,quran,Quran,19:57,verified,nonControversial
prophets_038,prophets,quran,Quran,11:42-43,verified,nonControversial
prophets_039,prophets,quran,Quran,11:44,verified,nonControversial
prophets_040,prophets,quran,Quran,11:40,verified,nonControversial
prophets_041,prophets,quran,Quran,11:38,verified,nonControversial
prophets_042,prophets,quran,Quran,17:3,verified,nonControversial
prophets_043,prophets,quran,Quran,69:6,verified,nonControversial
prophets_044,prophets,quran,Quran,11:67,verified,nonControversial
prophets_045,prophets,quran,Quran,6:74,verified,nonControversial
prophets_046,prophets,quran,Quran,21:58,verified,nonControversial
prophets_047,prophets,quran,Quran,6:76-78,verified,nonControversial
prophets_048,prophets,quran,Quran,2:260,verified,nonControversial
prophets_049,prophets,quran,Quran,11:69,verified,nonControversial
prophets_050,prophets,quran,Quran,11:71,verified,nonControversial
prophets_051,prophets,quran,Quran,37:102-107,verified,nonControversial
prophets_052,prophets,quran,Quran,14:37,verified,nonControversial
prophets_053,prophets,quran,Quran,2:126,verified,nonControversial
prophets_054,prophets,quran,Quran,2:129,verified,nonControversial
prophets_055,prophets,quran,Quran,16:120,verified,nonControversial
prophets_056,prophets,quran,Quran,19:54,verified,nonControversial
prophets_057,prophets,quran,Quran,11:82,verified,nonControversial
prophets_058,prophets,quran,Quran,66:10,verified,nonControversial
prophets_059,prophets,quran,Quran,11:71,verified,nonControversial
prophets_060,prophets,quran,Quran,12:84,verified,nonControversial
prophets_061,prophets,quran,Quran,12:93-96,verified,nonControversial
prophets_062,prophets,quran,Quran,12:33,verified,nonControversial
prophets_063,prophets,quran,Quran,12:36,verified,nonControversial
prophets_064,prophets,quran,Quran,12:47-48,verified,nonControversial
prophets_065,prophets,quran,Quran,12:55,verified,nonControversial
prophets_066,prophets,quran,Quran,12:70,verified,nonControversial
prophets_067,prophets,quran,Quran,12:67,verified,nonControversial
prophets_068,prophets,quran,Quran,12:58,verified,nonControversial
prophets_069,prophets,quran,Quran,28:8,verified,nonControversial
prophets_070,prophets,quran,Quran,28:12-13,verified,nonControversial
prophets_071,prophets,quran,Quran,28:15,verified,nonControversial
prophets_072,prophets,quran,Quran,28:20,verified,nonControversial
prophets_073,prophets,quran,Quran,28:23-24,verified,nonControversial
prophets_074,prophets,quran,Quran,28:27,verified,nonControversial
prophets_075,prophets,quran,Quran,20:12,verified,nonControversial
prophets_076,prophets,quran,Quran,20:22,verified,nonControversial
prophets_077,prophets,quran,Quran,20:25-28,verified,nonControversial
prophets_078,prophets,quran,Quran,20:29-30,verified,nonControversial
prophets_079,prophets,quran,Quran,7:117-120,verified,nonControversial
prophets_080,prophets,quran,Quran,7:133,verified,nonControversial
prophets_081,prophets,quran,Quran,10:92,verified,nonControversial
prophets_082,prophets,quran,Quran,66:11,verified,nonControversial
prophets_083,prophets,quran,Quran,7:142,verified,nonControversial
prophets_084,prophets,quran,Quran,7:143,verified,nonControversial
prophets_085,prophets,quran,Quran,7:145,verified,nonControversial
prophets_086,prophets,quran,Quran,20:85-88,verified,nonControversial
prophets_087,prophets,quran,Quran,2:60,verified,nonControversial
prophets_088,prophets,quran,Quran,2:57,verified,nonControversial
prophets_089,prophets,quran,Quran,2:69,verified,nonControversial
prophets_090,prophets,quran,Quran,28:76-81,verified,nonControversial
prophets_091,prophets,quran,Quran,34:10,verified,nonControversial
prophets_092,prophets,quran,Quran,21:80,verified,nonControversial
prophets_093,prophets,quran,Quran,2:251,verified,nonControversial
prophets_094,prophets,quran,Quran,2:249,verified,nonControversial
prophets_095,prophets,quran,Quran,21:79,verified,nonControversial
prophets_096,prophets,quran,Quran,21:81,verified,nonControversial
prophets_097,prophets,quran,Quran,27:20-22,verified,nonControversial
prophets_098,prophets,quran,Quran,27:18,verified,nonControversial
prophets_099,prophets,quran,Quran,27:40,verified,nonControversial
prophets_100,prophets,quran,Quran,34:13,verified,nonControversial
prophets_101,prophets,quran,Quran,34:14,verified,nonControversial
prophets_102,prophets,quran,Quran,38:35,verified,nonControversial
prophets_103,prophets,quran,Quran,38:42,verified,nonControversial
prophets_104,prophets,quran,Quran,21:87,verified,nonControversial
prophets_105,prophets,quran,Quran,37:146,verified,nonControversial
prophets_106,prophets,quran,Quran,37:147,verified,nonControversial
prophets_107,prophets,quran,Quran,19:10,verified,nonControversial
prophets_108,prophets,quran,Quran,19:7,verified,nonControversial
prophets_109,prophets,quran,Quran,19:12,verified,nonControversial
prophets_110,prophets,quran,Quran,3:35,verified,nonControversial
prophets_111,prophets,quran,Quran,3:37,verified,nonControversial
prophets_112,prophets,quran,Quran,3:42,verified,nonControversial
prophets_113,prophets,quran,Quran,19:25,verified,nonControversial
prophets_114,prophets,quran,Quran,5:75,verified,nonControversial
prophets_115,prophets,quran,Quran,3:45,verified,nonControversial
prophets_116,prophets,quran,Quran,3:49,verified,nonControversial
prophets_117,prophets,quran,Quran,3:52,verified,nonControversial
prophets_118,prophets,quran,Quran,5:112-114,verified,nonControversial
prophets_119,prophets,quran,Quran,4:157-158,verified,nonControversial
prophets_120,prophets,quran,Quran,61:6,verified,nonControversial
prophets_121,prophets,quran,Quran,37:125,verified,nonControversial
prophets_122,prophets,quran,Quran,21:85,verified,nonControversial
prophets_123,prophets,quran,Quran,38:48,verified,nonControversial
prophets_124,prophets,quran,Quran,33:40,verified,nonControversial
prophets_125,prophets,quran,Quran,21:107,verified,nonControversial
prophets_126,prophets,quran,Quran,33:56,verified,nonControversial
prophets_127,prophets,quran,Quran,68:4,verified,nonControversial
prophets_128,prophets,quran,Quran,3:144,verified,nonControversial
prophets_129,prophets,quran,Quran,33:7,verified,nonControversial
prophets_130,prophets,hadithBukhari,Sahih al-Bukhari,2262,verified,nonControversial
prophets_131,prophets,hadithMuslim,Sahih Muslim,2379,verified,nonControversial
prophets_132,prophets,hadithBukhari,Sahih al-Bukhari,3442,verified,nonControversial
prophets_133,prophets,quran,Quran,"well-established count (six surahs bear a prophet's name: Yunus, Hud, Yusuf, Ibrahim, Muhammad, Nuh)",verified,nonControversial
prophets_134,prophets,quran,Quran,11:75,verified,nonControversial
prophets_135,prophets,quran,Quran,7:85,verified,nonControversial
prophets_136,prophets,quran,Quran,7:91,verified,nonControversial
prophets_137,prophets,quran,Quran,11:70,verified,nonControversial
prophets_138,prophets,quran,Quran,14:40,verified,nonControversial
prophets_139,prophets,quran,Quran,12:100,verified,nonControversial
prophets_140,prophets,quran,Quran,12:8-9,verified,nonControversial
prophets_141,prophets,quran,Quran,12:18,verified,nonControversial
prophets_142,prophets,quran,Quran,28:7,verified,nonControversial
prophets_143,prophets,quran,Quran,26:63,verified,nonControversial
prophets_144,prophets,quran,Quran,20:14,verified,nonControversial
prophets_145,prophets,quran,Quran,20:43-44,verified,nonControversial
prophets_146,prophets,quran,Quran,18:60,verified,nonControversial
prophets_147,prophets,quran,Quran,18:71-77,verified,nonControversial
prophets_148,prophets,quran,Quran,19:30,verified,nonControversial
prophets_149,prophets,quran,Quran,7:23,verified,nonControversial
prophets_150,prophets,quran,Quran,71:1,verified,nonControversial
prophets_151,prophets,quran,Quran,2:35,verified,nonControversial
prophets_152,prophets,quran,Quran,2:37,verified,nonControversial
prophets_153,prophets,quran,Quran,3:59,verified,nonControversial
prophets_154,prophets,quran,Quran,19:56-57,verified,nonControversial
prophets_155,prophets,quran,Quran,11:41,verified,nonControversial
prophets_156,prophets,quran,Quran,71:26-27,verified,nonControversial
prophets_157,prophets,quran,Quran,23:27,verified,nonControversial
prophets_158,prophets,quran,Quran,7:69,verified,nonControversial
prophets_159,prophets,quran,Quran,69:6-7,verified,nonControversial
prophets_160,prophets,quran,Quran,26:128-129,verified,nonControversial
prophets_161,prophets,quran,Quran,7:74,verified,nonControversial
prophets_162,prophets,quran,Quran,54:27,verified,nonControversial
prophets_163,prophets,quran,Quran,7:78,verified,nonControversial
prophets_164,prophets,quran,Quran,26:161,verified,nonControversial
prophets_165,prophets,quran,Quran,11:81,verified,nonControversial
prophets_166,prophets,quran,Quran,11:84,verified,nonControversial
prophets_167,prophets,quran,Quran,11:88,verified,nonControversial
prophets_168,prophets,quran,Quran,2:124,verified,nonControversial
prophets_169,prophets,quran,Quran,2:258,verified,nonControversial
prophets_170,prophets,quran,Quran,22:27,verified,nonControversial
prophets_171,prophets,quran,Quran,51:24-27,verified,nonControversial
prophets_172,prophets,quran,Quran,60:4,verified,nonControversial
prophets_173,prophets,quran,Quran,14:35,verified,nonControversial
prophets_174,prophets,quran,Quran,37:99,verified,nonControversial
prophets_175,prophets,quran,Quran,19:54-55,verified,nonControversial
prophets_176,prophets,quran,Quran,12:5,verified,nonControversial
prophets_177,prophets,quran,Quran,12:26-27,verified,nonControversial
prophets_178,prophets,quran,Quran,12:31,verified,nonControversial
prophets_179,prophets,quran,Quran,12:39-40,verified,nonControversial
prophets_180,prophets,quran,Quran,12:54,verified,nonControversial
prophets_181,prophets,quran,Quran,12:76,verified,nonControversial
prophets_182,prophets,quran,Quran,12:92,verified,nonControversial
prophets_183,prophets,quran,Quran,12:87,verified,nonControversial
prophets_184,prophets,quran,Quran,12:101,verified,nonControversial
prophets_185,prophets,quran,Quran,38:41,verified,nonControversial
prophets_186,prophets,quran,Quran,38:43,verified,nonControversial
prophets_187,prophets,quran,Quran,37:143-144,verified,nonControversial
prophets_188,prophets,quran,Quran,10:98,verified,nonControversial
prophets_189,prophets,quran,Quran,68:48,verified,nonControversial
prophets_190,prophets,quran,Quran,37:123-125,verified,nonControversial
prophets_191,prophets,quran,Quran,21:85-86,verified,nonControversial
prophets_192,prophets,quran,Quran,2:50,verified,nonControversial
prophets_193,prophets,quran,Quran,28:34,verified,nonControversial
prophets_194,prophets,quran,Quran,20:44,verified,nonControversial
prophets_195,prophets,quran,Quran,40:28,verified,nonControversial
prophets_196,prophets,quran,Quran,20:90,verified,nonControversial
prophets_197,prophets,quran,Quran,28:9,verified,nonControversial
prophets_198,prophets,quran,Quran,18:66,verified,nonControversial
prophets_199,prophets,quran,Quran,7:150,verified,nonControversial
prophets_200,prophets,quran,Quran,79:17-19,verified,nonControversial
prophets_201,prophets,quran,Quran,38:18-19,verified,nonControversial
prophets_202,prophets,quran,Quran,38:20,verified,nonControversial
prophets_203,prophets,quran,Quran,34:11,verified,nonControversial
prophets_204,prophets,quran,Quran,27:15,verified,nonControversial
prophets_205,prophets,quran,Quran,27:19,verified,nonControversial
prophets_206,prophets,quran,Quran,27:22-23,verified,nonControversial
prophets_207,prophets,quran,Quran,27:44,verified,nonControversial
prophets_208,prophets,quran,Quran,27:17,verified,nonControversial
prophets_209,prophets,quran,Quran,19:4,verified,nonControversial
prophets_210,prophets,quran,Quran,3:41,verified,nonControversial
prophets_211,prophets,quran,Quran,19:12,verified,nonControversial
prophets_212,prophets,quran,Quran,3:43,verified,nonControversial
prophets_213,prophets,quran,Quran,19:24-26,verified,nonControversial
prophets_214,prophets,quran,Quran,19:31,verified,nonControversial
prophets_215,prophets,quran,Quran,43:59,verified,nonControversial
prophets_216,prophets,quran,Quran,5:116,verified,nonControversial
prophets_217,prophets,quran,Quran,4:171,verified,nonControversial
prophets_218,prophets,quran,Quran,93:6-8,verified,nonControversial
prophets_219,prophets,quran,Quran,94:5-6,verified,nonControversial
prophets_220,prophets,quran,Quran,108:1-2,verified,nonControversial
prophets_221,prophets,quran,Quran,9:128,verified,nonControversial
prophets_222,prophets,quran,Quran,3:159,verified,nonControversial
prophets_223,prophets,quran,Quran,33:21,verified,nonControversial
prophets_224,prophets,quran,Quran,34:28,verified,nonControversial
prophets_225,prophets,quran,Quran,17:81,verified,nonControversial
prophets_226,prophets,quran,Quran,2:285,verified,nonControversial
prophets_227,prophets,quran,Quran,16:36,verified,nonControversial
prophets_228,prophets,quran,Quran,14:4,verified,nonControversial
prophets_229,prophets,quran,Quran,21:25,verified,nonControversial
prophets_230,prophets,quran,Quran,6:84-86,verified,nonControversial
prophets_231,prophets,quran,Quran,2:253,verified,nonControversial
prophets_232,prophets,quran,Quran,3:81,verified,nonControversial
prophets_233,prophets,quran,Quran,42:13,verified,nonControversial
prophets_234,prophets,quran,Quran,40:78,verified,nonControversial
prophets_235,prophets,quran,Quran,12:109,verified,nonControversial
prophets_236,prophets,quran,Quran,6:34,verified,nonControversial
prophets_237,prophets,quran,Quran,3:33,verified,nonControversial
prophets_238,prophets,quran,Quran,5:20,verified,nonControversial
prophets_239,prophets,quran,Quran,7:157,verified,nonControversial
prophets_240,prophets,quran,Quran,10:71,verified,nonControversial
prophets_241,prophets,quran,Quran,26:78-80,verified,nonControversial
prophets_242,prophets,quran,Quran,37:107,verified,nonControversial
prophets_243,prophets,quran,Quran,2:136,verified,nonControversial
prophets_244,prophets,quran,Quran,11:120,verified,nonControversial
prophets_245,prophets,quran,Quran,18:110,verified,nonControversial
prophets_246,prophets,quran,Quran,48:29,verified,nonControversial
prophets_247,prophets,quran,Quran,53:2-4,verified,nonControversial
prophets_248,prophets,quran,Quran,110:1-3,verified,nonControversial
prophets_249,prophets,quran,Quran,62:2,verified,nonControversial
prophets_250,prophets,quran,Quran,8:33,verified,nonControversial
sira_031,sira,quran,Quran,106:1,verified,nonControversial
sira_032,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_033,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_034,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_035,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_036,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_037,sira,sira,Sira,well-established terminology,verified,nonControversial
sira_038,sira,sira,Sira,well-established terminology,verified,nonControversial
sira_039,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_040,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_041,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_042,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_043,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_044,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_045,sira,hadithBukhari,Sahih al-Bukhari,1245,verified,nonControversial
sira_046,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_047,sira,quran,Quran,111:1,verified,nonControversial
sira_048,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_049,sira,hadithBukhari,Sahih al-Bukhari,3231,verified,nonControversial
sira_050,sira,hadithBukhari,Sahih al-Bukhari,349,verified,nonControversial
sira_051,sira,quran,Quran,53:14,verified,nonControversial
sira_052,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_053,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_054,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_055,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_056,sira,hadithBukhari,Sahih al-Bukhari,3905,verified,nonControversial
sira_057,sira,hadithBukhari,Sahih al-Bukhari,3906,verified,nonControversial
sira_058,sira,quran,Quran,33:13,verified,nonControversial
sira_059,sira,hadithBukhari,Sahih al-Bukhari,2731,verified,nonControversial
sira_060,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_061,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_062,sira,hadithBukhari,Sahih al-Bukhari,6452,verified,nonControversial
sira_063,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_064,sira,quran,Quran,8:9,verified,nonControversial
sira_065,sira,hadithBukhari,Sahih al-Bukhari,3039,verified,nonControversial
sira_066,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_067,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_068,sira,quran,Quran,33:9-10,verified,nonControversial
sira_069,sira,quran,Quran,48:18,verified,nonControversial
sira_070,sira,quran,Quran,48:1,verified,nonControversial
sira_071,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_072,sira,hadithBukhari,Sahih al-Bukhari,7,verified,nonControversial
sira_073,sira,hadithBukhari,Sahih al-Bukhari,3701,verified,nonControversial
sira_074,sira,hadithBukhari,Sahih al-Bukhari,4262,verified,nonControversial
sira_075,sira,hadithBukhari,Sahih al-Bukhari,4262,verified,nonControversial
sira_076,sira,hadithBukhari,Sahih al-Bukhari,4287,verified,nonControversial
sira_077,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_078,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_079,sira,quran,Quran,9:25,verified,nonControversial
sira_080,sira,hadithBukhari,Sahih al-Bukhari,4418,verified,nonControversial
sira_081,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_082,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_083,sira,quran,Quran,5:3,verified,nonControversial
sira_084,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_085,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_086,sira,hadithBukhari,Sahih al-Bukhari,3667,verified,nonControversial
sira_087,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_088,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_089,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_090,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_091,sira,hadithBukhari,Sahih al-Bukhari,6038,verified,nonControversial
sira_092,sira,hadithBukhari,Sahih al-Bukhari,75,verified,nonControversial
sira_093,sira,hadithBukhari,Sahih al-Bukhari,1395,verified,nonControversial
sira_094,sira,hadithBukhari,Sahih al-Bukhari,3744,verified,nonControversial
sira_095,sira,hadithBukhari,Sahih al-Bukhari,4986,verified,nonControversial
sira_096,sira,hadithBukhari,Sahih al-Bukhari,4987,verified,nonControversial
sira_097,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_098,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_099,sira,sira,Sira,well-established terminology,verified,nonControversial
sira_100,sira,quran,Quran,"well-established count (the name Muhammad appears four times: 3:144, 33:40, 47:2, 48:29)",verified,nonControversial
sira_101,sira,quran,Quran,33:21,verified,nonControversial
sira_102,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_103,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_104,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_105,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
sira_106,sira,sira,Sira,"well-established sira event, agreed across standard biographies",verified,nonControversial
